import time: self [us] | cumulative | imported package
import time:     31496 |    1612268 |               numpy
import time:      5743 |       5743 |                 pytz.exceptions
import time:      1396 |       1396 |                 pytz.lazy
import time:      3985 |       3985 |                 pytz.tzinfo
import time:      1007 |       1007 |                 pytz.tzfile
import time:      4604 |      16734 |               pytz
import time:     12465 |      12465 |                 dateutil._version
import time:     86719 |      99183 |               dateutil
import time:     17855 |      17855 |                 pandas.compat._constants
import time:      2887 |       2887 |                 pandas.compat.compressors
import time:      1000 |       1000 |                     pandas.util
import time:     68641 |      69640 |                   pandas.util.version
import time:     47865 |     117505 |                 pandas.compat.numpy
import time:       434 |        434 |                   pyarrow
import time:      1553 |       1987 |                 pandas.compat.pyarrow
import time:      2553 |     142786 |               pandas.compat
import time:      3241 |       3241 |                           numpy.random._common
import time:      2689 |       5929 |                         numpy.random.bit_generator
import time:      1763 |       1763 |                           numpy.random._bounded_integers
import time:      2727 |       2727 |                           numpy.random._mt19937
import time:      5385 |       9874 |                         numpy.random.mtrand
import time:      1361 |       1361 |                         numpy.random._philox
import time:      1897 |       1897 |                         numpy.random._pcg64
import time:      2209 |       2209 |                         numpy.random._sfc64
import time:    112818 |     112818 |                         numpy.random._generator
import time:      4201 |     138284 |                       numpy.random._pickle
import time:      1741 |     140025 |                     numpy.random
import time:     97755 |     237779 |                   pandas._typing
import time:      1199 |       1199 |                   pandas.util._exceptions
import time:     37650 |     276627 |                 pandas._config.config
import time:      7593 |       7593 |                 pandas._config.dates
import time:      3021 |       3021 |                 pandas._config.display
import time:      2781 |     290022 |               pandas._config
import time:       942 |        942 |                 pandas.core
import time:      7291 |       8233 |               pandas.core.config_init
import time:      3509 |       3509 |                   pandas._libs.pandas_parser
import time:      1103 |       1103 |                   pandas._libs.pandas_datetime
import time:      1473 |       1473 |                               pandas._libs.tslibs.ccalendar
import time:      3379 |       3379 |                               pandas._libs.tslibs.np_datetime
import time:      6183 |      11034 |                             pandas._libs.tslibs.dtypes
import time:      1872 |       1872 |                               pandas._libs.tslibs.base
import time:      3955 |       3955 |                                   pandas._libs.tslibs.nattype
import time:      1567 |       1567 |                                       pandas.compat._optional
import time:      4705 |       4705 |                                           six
import time:       135 |        135 |                                           six.moves
import time:      1120 |       1120 |                                           dateutil.tz._common
import time:      1175 |       1175 |                                           dateutil.tz._factories
import time:       109 |        109 |                                             six.moves.winreg
import time:      1469 |       1578 |                                           dateutil.tz.win
import time:      4213 |      12924 |                                         dateutil.tz.tz
import time:    287453 |     300377 |                                       dateutil.tz
import time:     14133 |     316076 |                                     pandas._libs.tslibs.timezones
import time:    234940 |     234940 |                                       _strptime
import time:     53669 |      53669 |                                       pandas._config.localization
import time:      5011 |     293620 |                                     pandas._libs.tslibs.fields
import time:     11692 |     621387 |                                   pandas._libs.tslibs.timedeltas
import time:     22326 |      22326 |                                   pandas._libs.tslibs.tzconversion
import time:       646 |        646 |                                   backports_abc
import time:     27422 |     675734 |                                 pandas._libs.tslibs.timestamps
import time:       414 |        414 |                                 backports_abc
import time:      1975 |       1975 |                                 pandas._libs.properties
import time:     14487 |     692609 |                               pandas._libs.tslibs.offsets
import time:       434 |        434 |                                 backports_abc
import time:      1266 |       1266 |                                     dateutil._common
import time:      6761 |       8026 |                                   dateutil.parser._parser
import time:      1961 |       1961 |                                   dateutil.parser.isoparser
import time:      1303 |      11289 |                                 dateutil.parser
import time:     26179 |      26179 |                                 pandas._libs.tslibs.strptime
import time:      5220 |      43120 |                               pandas._libs.tslibs.parsing
import time:      4205 |     741804 |                             pandas._libs.tslibs.conversion
import time:     10684 |      10684 |                             pandas._libs.tslibs.period
import time:      3331 |       3331 |                             pandas._libs.tslibs.vectorized
import time:      7122 |     773973 |                           pandas._libs.tslibs
import time:        92 |     774065 |                         pandas._libs.tslibs.nattype
import time:      1516 |       1516 |                         pandas._libs.ops_dispatch
import time:      5202 |     780781 |                       pandas._libs.missing
import time:     11582 |     792363 |                     pandas._libs.hashtable
import time:      4644 |       4644 |                     pandas._libs.algos
import time:      4229 |     801235 |                   pandas._libs.interval
import time:      2221 |     808067 |                 pandas._libs
import time:      1176 |       1176 |                   pandas.core.dtypes
import time:       291 |        291 |                     pyarrow
import time:      5244 |       5534 |                   pandas._libs.lib
import time:      7298 |       7298 |                   pandas.errors
import time:    169335 |     169335 |                     pandas.core.dtypes.generic
import time:      1649 |     170983 |                   pandas.core.dtypes.base
import time:      2406 |       2406 |                   pandas.core.dtypes.inference
import time:      8907 |     196303 |                 pandas.core.dtypes.dtypes
import time:      5321 |       5321 |                   pandas.core.dtypes.common
import time:      2656 |       7976 |                 pandas.core.dtypes.missing
import time:      1307 |       1307 |                   pandas.util._decorators
import time:      2355 |       2355 |                       pandas.io
import time:      1362 |       3717 |                     pandas.io._util
import time:      6124 |       9840 |                   pandas.core.dtypes.cast
import time:      1901 |       1901 |                     pandas.core.dtypes.astype
import time:      1606 |       3506 |                   pandas.core.dtypes.concat
import time:      5125 |       5125 |                     pandas.core.array_algos
import time:    143732 |     143732 |                         numpy.ma.core
import time:    102586 |     102586 |                         numpy.ma.extras
import time:     13313 |     259630 |                       numpy.ma
import time:      5070 |       5070 |                       pandas.core.common
import time:     22560 |     287259 |                     pandas.core.construction
import time:     10078 |     302461 |                   pandas.core.array_algos.take
import time:     58276 |      58276 |                     pandas.core.indexers.utils
import time:      1507 |      59783 |                   pandas.core.indexers
import time:      3482 |     380376 |                 pandas.core.algorithms
import time:      3080 |       3080 |                     pandas.core.arrays.arrow.accessors
import time:     18156 |      18156 |                       pandas.util._validators
import time:      7515 |       7515 |                       pandas.core.missing
import time:    133843 |     133843 |                           pandas._libs.ops
import time:      1922 |       1922 |                           pandas.core.roperator
import time:       794 |        794 |                           pandas.core.computation
import time:      5679 |       5679 |                             pandas.core.computation.check
import time:      4288 |       9966 |                           pandas.core.computation.expressions
import time:      1207 |       1207 |                           pandas.core.ops.missing
import time:      6460 |       6460 |                           pandas.core.ops.dispatch
import time:      1628 |       1628 |                           pandas.core.ops.invalid
import time:      2734 |     158552 |                         pandas.core.ops.array_ops
import time:      3850 |       3850 |                         pandas.core.ops.common
import time:      1055 |       1055 |                         pandas.core.ops.docstrings
import time:       902 |        902 |                         pandas.core.ops.mask_ops
import time:      2283 |     166640 |                       pandas.core.ops
import time:      1436 |       1436 |                       pandas.core.arraylike
import time:      1066 |       1066 |                       pandas.core.arrays._arrow_string_mixins
import time:      1044 |       1044 |                       pandas.core.arrays._utils
import time:      4588 |       4588 |                         pandas.compat.numpy.function
import time:      1338 |       1338 |                         pandas.core.array_algos.quantile
import time:      1511 |       1511 |                         pandas.core.sorting
import time:      6794 |      14229 |                       pandas.core.arrays.base
import time:      7686 |       7686 |                         pandas.core.nanops
import time:      1262 |       1262 |                         pandas.core.array_algos.masked_accumulations
import time:      1666 |       1666 |                         pandas.core.array_algos.masked_reductions
import time:      1167 |       1167 |                           pandas.core.util
import time:      9775 |       9775 |                           pandas._libs.hashing
import time:      1454 |      12395 |                         pandas.core.util.hashing
import time:      5377 |      28384 |                       pandas.core.arrays.masked
import time:      1450 |       1450 |                         pandas._libs.arrays
import time:      3483 |       3483 |                           pandas.core.arrays.numeric
import time:      4178 |       7661 |                         pandas.core.arrays.floating
import time:      2157 |       2157 |                         pandas.core.arrays.integer
import time:      1872 |       1872 |                             pandas.core.array_algos.transforms
import time:      2536 |       4408 |                           pandas.core.arrays._mixins
import time:      1108 |       1108 |                             pandas.core.strings
import time:     58694 |      58694 |                             pandas.core.strings.base
import time:      3330 |      63130 |                           pandas.core.strings.object_array
import time:     15719 |      83256 |                         pandas.core.arrays.numpy_
import time:      2641 |      97163 |                       pandas.core.arrays.string_
import time:     42275 |      42275 |                         pandas.tseries
import time:     31520 |      73795 |                       pandas.tseries.frequencies
import time:     17593 |     427016 |                     pandas.core.arrays.arrow.array
import time:     13208 |     443303 |                   pandas.core.arrays.arrow
import time:      1352 |       1352 |                   pandas.core.arrays.boolean
import time:      2161 |       2161 |                     pandas.core.accessor
import time:      3754 |       3754 |                     pandas.core.base
import time:      1490 |       1490 |                     pandas.io.formats
import time:      1993 |       1993 |                     pandas.io.formats.console
import time:      3945 |      13342 |                   pandas.core.arrays.categorical
import time:      3734 |       3734 |                     pandas._libs.tslib
import time:      1003 |       1003 |                       pandas.core.array_algos.datetimelike_accumulations
import time:      6885 |       7888 |                     pandas.core.arrays.datetimelike
import time:      1479 |       1479 |                     pandas.core.arrays._ranges
import time:      1725 |       1725 |                     pandas.tseries.offsets
import time:      3492 |      18317 |                   pandas.core.arrays.datetimes
import time:      3017 |       3017 |                     pandas.core.arrays.timedeltas
import time:      8139 |      11156 |                   pandas.core.arrays.interval
import time:      3471 |       3471 |                   pandas.core.arrays.period
import time:      5013 |       5013 |                         pandas._libs.sparse
import time:      1981 |       1981 |                         pandas.io.formats.printing
import time:      3457 |      10451 |                       pandas.core.arrays.sparse.array
import time:      3476 |      13927 |                     pandas.core.arrays.sparse.accessor
import time:      1780 |      15706 |                   pandas.core.arrays.sparse
import time:      2984 |       2984 |                   pandas.core.arrays.string_arrow
import time:      2738 |     512365 |                 pandas.core.arrays
import time:      1713 |       1713 |                 pandas.core.flags
import time:       732 |        732 |                         backports_abc
import time:      3562 |       4294 |                       pandas._libs.internals
import time:      1322 |       1322 |                         pandas.core._numba
import time:      1719 |       3041 |                       pandas.core._numba.executor
import time:      3809 |      11143 |                     pandas.core.apply
import time:      2563 |       2563 |                           pandas._libs.indexing
import time:      1156 |       1156 |                             pandas.core.indexes
import time:       467 |        467 |                                 backports_abc
import time:      5016 |       5482 |                               pandas._libs.index
import time:     96785 |      96785 |                               pandas._libs.writers
import time:      6803 |       6803 |                               pandas._libs.join
import time:      1183 |       1183 |                               pandas.core.array_algos.putmask
import time:      6764 |       6764 |                               pandas.core.indexes.frozen
import time:    100775 |     100775 |                               pandas.core.strings.accessor
import time:     24853 |     242642 |                             pandas.core.indexes.base
import time:      4466 |       4466 |                               pandas.core.indexes.extension
import time:     14526 |      18991 |                             pandas.core.indexes.category
import time:      5256 |       5256 |                                 pandas.core.indexes.range
import time:     62190 |      62190 |                                   pandas.core.tools
import time:      5280 |      67469 |                                 pandas.core.tools.timedeltas
import time:     25394 |      98117 |                               pandas.core.indexes.datetimelike
import time:      1439 |       1439 |                               pandas.core.tools.times
import time:     15712 |     115266 |                             pandas.core.indexes.datetimes
import time:     79317 |      79317 |                               pandas.core.indexes.multi
import time:     81208 |      81208 |                               pandas.core.indexes.timedeltas
import time:      5064 |     165588 |                             pandas.core.indexes.interval
import time:      3007 |       3007 |                             pandas.core.indexes.period
import time:      2659 |     549307 |                           pandas.core.indexes.api
import time:      6137 |     558005 |                         pandas.core.indexing
import time:       982 |        982 |                         pandas.core.sample
import time:       794 |        794 |                         pandas.core.array_algos.replace
import time:      3916 |       3916 |                             pandas.core.internals.blocks
import time:      1154 |       5069 |                           pandas.core.internals.api
import time:      2050 |       2050 |                             pandas.core.internals.base
import time:      2392 |       2392 |                               pandas.core.internals.ops
import time:      3641 |       6032 |                             pandas.core.internals.managers
import time:      2249 |      10330 |                           pandas.core.internals.array_manager
import time:      1579 |       1579 |                           pandas.core.internals.concat
import time:       813 |      17789 |                         pandas.core.internals
import time:      3812 |       3812 |                         pandas.core.internals.construction
import time:      2373 |       2373 |                           pandas.core.methods
import time:      1298 |       1298 |                             pandas.core.reshape
import time:      3076 |       4374 |                           pandas.core.reshape.concat
import time:      2286 |       2286 |                               gzip
import time:      3769 |       3769 |                               mmap
import time:       198 |        198 |                                 pwd
import time:      1445 |       1445 |                                 grp
import time:     10357 |      11999 |                               tarfile
import time:      1251 |       1251 |                               pandas.core.shared_docs
import time:     13159 |      32462 |                             pandas.io.common
import time:      4430 |      36892 |                           pandas.io.formats.format
import time:      6864 |      50501 |                         pandas.core.methods.describe
import time:      2096 |       2096 |                               pandas._libs.window
import time:      5803 |       7898 |                             pandas._libs.window.aggregations
import time:     39382 |      39382 |                               pandas._libs.window.indexers
import time:      4512 |      43893 |                             pandas.core.indexers.objects
import time:     12668 |      12668 |                             pandas.core.util.numba_
import time:      1225 |       1225 |                             pandas.core.window.common
import time:      3059 |       3059 |                             pandas.core.window.doc
import time:     55081 |      55081 |                             pandas.core.window.numba_
import time:      5358 |       5358 |                             pandas.core.window.online
import time:    118211 |     118211 |                             pandas.core.window.rolling
import time:     12960 |     260348 |                           pandas.core.window.ewm
import time:     41732 |      41732 |                           pandas.core.window.expanding
import time:      1932 |     304011 |                         pandas.core.window
import time:     71448 |    1007339 |                       pandas.core.generic
import time:      1761 |       1761 |                       pandas.core.methods.selectn
import time:      1356 |       1356 |                         pandas.core.reshape.util
import time:      1083 |       1083 |                         pandas.core.tools.numeric
import time:      4079 |       6517 |                       pandas.core.reshape.melt
import time:      3174 |       3174 |                         pandas._libs.reshape
import time:      5460 |       5460 |                         pandas.core.indexes.accessors
import time:      2135 |       2135 |                           pandas.arrays
import time:      7257 |       9392 |                         pandas.core.tools.datetimes
import time:      7783 |       7783 |                         pandas.io.formats.info
import time:      5780 |       5780 |                           pandas.plotting._core
import time:      1479 |       1479 |                           pandas.plotting._misc
import time:      1491 |       8749 |                         pandas.plotting
import time:     25301 |      59855 |                       pandas.core.series
import time:     69048 |    1144518 |                     pandas.core.frame
import time:      4860 |       4860 |                     pandas.core.groupby.base
import time:       540 |        540 |                         backports_abc
import time:    474320 |     474860 |                       pandas._libs.groupby
import time:      1155 |       1155 |                         pandas.core.groupby.categorical
import time:     22202 |      23357 |                       pandas.core.groupby.grouper
import time:      9806 |     508021 |                     pandas.core.groupby.ops
import time:     21603 |      21603 |                       pandas.core.groupby.numba_
import time:    180836 |     180836 |                       pandas.core.groupby.indexing
import time:     94120 |     296558 |                     pandas.core.groupby.groupby
import time:    268758 |    2233855 |                   pandas.core.groupby.generic
import time:      1060 |    2234914 |                 pandas.core.groupby
import time:      3157 |    4144868 |               pandas.core.api
import time:     34208 |      34208 |               pandas.tseries.api
import time:     45194 |      45194 |                       pandas.core.computation.common
import time:     50480 |      95673 |                     pandas.core.computation.align
import time:      5216 |       5216 |                         pprint
import time:    250372 |     255588 |                       pandas.core.computation.scope
import time:     73037 |     328624 |                     pandas.core.computation.ops
import time:      8958 |     433254 |                   pandas.core.computation.engines
import time:      1501 |       1501 |                     pandas.core.computation.parsing
import time:      5873 |       7373 |                   pandas.core.computation.expr
import time:     10470 |     451096 |                 pandas.core.computation.eval
import time:      5917 |     457012 |               pandas.core.computation.api
import time:      1631 |       1631 |                 pandas.core.reshape.encoding
import time:      2950 |       2950 |                 pandas.core.reshape.merge
import time:      2191 |       2191 |                 pandas.core.reshape.pivot
import time:      1345 |       1345 |                 pandas.core.reshape.tile
import time:      1120 |       9236 |               pandas.core.reshape.api
import time:      1020 |       1020 |                 pandas.api.extensions
import time:      1024 |       1024 |                 pandas.api.indexers
import time:      1302 |       1302 |                     pandas.core.interchange
import time:      4618 |       5920 |                   pandas.core.interchange.dataframe_protocol
import time:      1031 |       1031 |                     pandas.core.interchange.utils
import time:      3075 |       4106 |                   pandas.core.interchange.from_dataframe
import time:       955 |      10980 |                 pandas.api.interchange
import time:       877 |        877 |                   pandas.core.dtypes.api
import time:      3610 |       4486 |                 pandas.api.types
import time:     10663 |      10663 |                   pandas.core.resample
import time:      2572 |       2572 |                         pandas._libs.json
import time:      1735 |       1735 |                         pandas.io.json._normalize
import time:       892 |        892 |                         pandas.io.json._table_schema
import time:       298 |        298 |                                 backports_abc
import time:      2564 |       2862 |                               pandas._libs.parsers
import time:      3576 |       3576 |                                 pandas.io.parsers.base_parser
import time:      1407 |       4983 |                               pandas.io.parsers.arrow_parser_wrapper
import time:       928 |        928 |                               pandas.io.parsers.c_parser_wrapper
import time:      4242 |       4242 |                               pandas.io.parsers.python_parser
import time:     12438 |      25450 |                             pandas.io.parsers.readers
import time:       714 |      26164 |                           pandas.io.parsers
import time:        74 |      26237 |                         pandas.io.parsers.readers
import time:    413206 |     444641 |                       pandas.io.json._json
import time:      1247 |     445887 |                     pandas.io.json
import time:        95 |     445982 |                   pandas.io.json._json
import time:     71457 |      71457 |                   pandas.io.stata
import time:      1368 |     529468 |                 pandas.api.typing
import time:      1051 |     548025 |               pandas.api
import time:      2192 |       2192 |                     pandas._testing.contexts
import time:      2179 |       4370 |                   pandas._testing._io
import time:      1273 |       1273 |                   pandas._testing._warnings
import time:      2391 |       2391 |                       cmath
import time:      1666 |       4057 |                     pandas._libs.testing
import time:      6308 |      10365 |                   pandas._testing.asserters
import time:       858 |        858 |                   pandas._testing.compat
import time:    124505 |     141369 |                 pandas._testing
import time:      3143 |     144512 |               pandas.testing
import time:       729 |        729 |               pandas.util._print_versions
import time:       768 |        768 |                 pandas.io.clipboards
import time:      6035 |       6035 |                     pandas.io.excel._util
import time:      6614 |       6614 |                     pandas.io.excel._calamine
import time:     22741 |      22741 |                     pandas.io.excel._odfreader
import time:      4114 |       4114 |                     pandas.io.excel._openpyxl
import time:     45848 |      45848 |                     pandas.io.excel._pyxlsb
import time:      1434 |       1434 |                     pandas.io.excel._xlrd
import time:     11639 |      98423 |                   pandas.io.excel._base
import time:     12204 |      12204 |                   pandas.io.excel._odswriter
import time:      1511 |       1511 |                   pandas.io.excel._xlsxwriter
import time:     73569 |     185705 |                 pandas.io.excel
import time:      1561 |       1561 |                 pandas.io.feather_format
import time:      1325 |       1325 |                 pandas.io.gbq
import time:      4261 |       4261 |                 pandas.io.html
import time:      2992 |       2992 |                 pandas.io.orc
import time:      3275 |       3275 |                 pandas.io.parquet
import time:      1459 |       1459 |                   pandas.compat.pickle_compat
import time:      4576 |       6035 |                 pandas.io.pickle
import time:      2237 |       2237 |                   pandas.core.computation.pytables
import time:     11373 |      13609 |                 pandas.io.pytables
import time:      2582 |       2582 |                   pandas.io.sas.sasreader
import time:      1073 |       3654 |                 pandas.io.sas
import time:      1501 |       1501 |                 pandas.io.spss
import time:      3037 |       3037 |                 pandas.io.sql
import time:      6899 |       6899 |                 pandas.io.xml
import time:      2213 |     236829 |               pandas.io.api
import time:      1616 |       1616 |               pandas.util._tester
import time:       991 |        991 |               pandas._version_meson
import time:     28365 |    7775608 |             pandas
import time:       921 |        921 |                   reportlab.local_rl_mods
import time:       237 |        237 |                   reportlab_mods
import time:      1347 |       2503 |                 reportlab
import time:      2023 |       4525 |               reportlab.lib
import time:       834 |        834 |               reportlab.lib.units
import time:      2166 |       7524 |             reportlab.lib.pagesizes
import time:       841 |        841 |             reportlab.pdfgen
import time:       978 |        978 |                   reportlab.lib.rltempfile
import time:    149950 |     149950 |                   reportlab.lib.rl_safe_eval
import time:     19575 |      19575 |                     PIL._version
import time:      3037 |      22611 |                   PIL
import time:    178383 |     178383 |                     PIL.ExifTags
import time:      2168 |       2168 |                     PIL.ImageMode
import time:      5623 |       5623 |                     PIL.TiffTags
import time:      1577 |       1577 |                     PIL._binary
import time:      2591 |       2591 |                     PIL._deprecate
import time:       978 |        978 |                     PIL._util
import time:       399 |        399 |                     defusedxml
import time:      9503 |       9503 |                     PIL._imaging
import time:     55451 |     256669 |                   PIL.Image
import time:      6869 |     437075 |                 reportlab.lib.utils
import time:      1087 |       1087 |                 reportlab.rl_settings
import time:       169 |        169 |                 reportlab.local_rl_settings
import time:       359 |        359 |                 reportlab_settings
import time:     17741 |     456429 |               reportlab.rl_config
import time:      1305 |       1305 |               reportlab.pdfbase
import time:       408 |        408 |                     _rl_accel
import time:       351 |        351 |                     _rl_accel
import time:       838 |        838 |                     _rl_accel
import time:      1160 |       1160 |                     _rl_accel
import time:       956 |        956 |                     _rl_accel
import time:       385 |        385 |                     _rl_accel
import time:       661 |        661 |                     _rl_accel
import time:       353 |        353 |                     _rl_accel
import time:      5973 |       5973 |                     _rl_accel
import time:      1013 |       1013 |                     _rl_accel
import time:       357 |        357 |                     _rl_accel
import time:      4798 |      17246 |                   reportlab.lib.rl_accel
import time:      2580 |      19825 |                 reportlab.pdfbase.pdfutils
import time:      1611 |       1611 |                     reportlab.pdfbase._fontdata_enc_winansi
import time:      7969 |       7969 |                     reportlab.pdfbase._fontdata_enc_macroman
import time:      1143 |       1143 |                     reportlab.pdfbase._fontdata_enc_standard
import time:      1282 |       1282 |                     reportlab.pdfbase._fontdata_enc_symbol
import time:       931 |        931 |                     reportlab.pdfbase._fontdata_enc_zapfdingbats
import time:       911 |        911 |                     reportlab.pdfbase._fontdata_enc_pdfdoc
import time:       840 |        840 |                     reportlab.pdfbase._fontdata_enc_macexpert
import time:      1365 |       1365 |                     reportlab.pdfbase._fontdata_widths_courier
import time:       903 |        903 |                     reportlab.pdfbase._fontdata_widths_courierbold
import time:      1064 |       1064 |                     reportlab.pdfbase._fontdata_widths_courieroblique
import time:      2737 |       2737 |                     reportlab.pdfbase._fontdata_widths_courierboldoblique
import time:      1205 |       1205 |                     reportlab.pdfbase._fontdata_widths_helvetica
import time:      1063 |       1063 |                     reportlab.pdfbase._fontdata_widths_helveticabold
import time:      1052 |       1052 |                     reportlab.pdfbase._fontdata_widths_helveticaoblique
import time:      1057 |       1057 |                     reportlab.pdfbase._fontdata_widths_helveticaboldoblique
import time:      1237 |       1237 |                     reportlab.pdfbase._fontdata_widths_timesroman
import time:      1296 |       1296 |                     reportlab.pdfbase._fontdata_widths_timesbold
import time:       952 |        952 |                     reportlab.pdfbase._fontdata_widths_timesitalic
import time:       872 |        872 |                     reportlab.pdfbase._fontdata_widths_timesbolditalic
import time:      1031 |       1031 |                     reportlab.pdfbase._fontdata_widths_symbol
import time:      1177 |       1177 |                     reportlab.pdfbase._fontdata_widths_zapfdingbats
import time:      3923 |      35609 |                   reportlab.pdfbase._fontdata
import time:      1889 |       1889 |                   reportlab.lib.logger
import time:      2449 |       2449 |                   reportlab.pdfbase.rl_codecs
import time:    156517 |     196463 |                 reportlab.pdfbase.pdfmetrics
import time:      8432 |     224719 |               reportlab.pdfbase.pdfdoc
import time:      2289 |       2289 |                 reportlab.lib.abag
import time:       474 |        474 |                 uharfbuzz
import time:      8398 |      11161 |               reportlab.pdfbase.ttfonts
import time:      1229 |       1229 |                 reportlab.pdfgen.pdfgeom
import time:      2764 |       3992 |               reportlab.pdfgen.pathobject
import time:      5538 |       5538 |                 reportlab.lib.colors
import time:       481 |        481 |                 rlbidi
import time:      1991 |       8008 |               reportlab.pdfgen.textobject
import time:      1085 |       1085 |               reportlab.lib.boxstuff
import time:    154644 |     861340 |             reportlab.pdfgen.canvas
import time:     76321 |    8723533 |           fastapi_modulo.modulos.mi_tablero.reports.dashboard_report
import time:       357 |        357 |                   fastapi_modulo.modulos.mi_tablero.ml
import time:      2088 |       2088 |                         _multiprocessing
import time:      2840 |       2840 |                             multiprocessing.process
import time:      2057 |       2057 |                             multiprocessing.reduction
import time:     33766 |      38662 |                           multiprocessing.context
import time:     90621 |     129282 |                         multiprocessing
import time:      1794 |     133164 |                       joblib._multiprocessing_helpers
import time:     16334 |      16334 |                         joblib.externals
import time:      2138 |       2138 |                         joblib.externals.loky._base
import time:      4926 |       4926 |                               multiprocessing.util
import time:     10413 |      15339 |                             multiprocessing.synchronize
import time:       708 |        708 |                                   _winapi
import time:      1934 |       2641 |                                 multiprocessing.connection
import time:      2466 |       2466 |                                 multiprocessing.queues
import time:      1939 |       7045 |                               concurrent.futures.process
import time:      1558 |       1558 |                               joblib.externals.loky.backend.process
import time:     16438 |      25040 |                             joblib.externals.loky.backend.context
import time:      1196 |      41574 |                           joblib.externals.loky.backend
import time:        91 |      41665 |                         joblib.externals.loky.backend.context
import time:       963 |        963 |                           joblib.externals.loky.backend._posix_reduction
import time:      2477 |       2477 |                             joblib.externals.cloudpickle.cloudpickle
import time:      1133 |       3610 |                           joblib.externals.cloudpickle
import time:      1370 |       5942 |                         joblib.externals.loky.backend.reduction
import time:       184 |        184 |                             faulthandler
import time:      1552 |       1552 |                             joblib.externals.loky.backend.queues
import time:       400 |        400 |                               psutil
import time:      1082 |       1482 |                             joblib.externals.loky.backend.utils
import time:       879 |        879 |                             joblib.externals.loky.initializers
import time:       404 |        404 |                             psutil
import time:      2864 |       7363 |                           joblib.externals.loky.process_executor
import time:      1875 |       9237 |                         joblib.externals.loky.reusable_executor
import time:      1045 |       1045 |                         joblib.externals.loky.cloudpickle_wrapper
import time:     10241 |      86598 |                       joblib.externals.loky
import time:      3038 |     222800 |                     joblib._cloudpickle_wrapper
import time:      2813 |       2813 |                       joblib._utils
import time:      2160 |       2160 |                       multiprocessing.pool
import time:      1807 |       1807 |                           joblib.backports
import time:      1007 |       1007 |                           joblib.disk
import time:      1409 |       1409 |                                 runpy
import time:      1082 |       2490 |                               multiprocessing.spawn
import time:       803 |        803 |                               _posixshmem
import time:      1113 |       4405 |                             multiprocessing.resource_tracker
import time:       914 |        914 |                             joblib.externals.loky.backend.spawn
import time:      1135 |       6453 |                           joblib.externals.loky.backend.resource_tracker
import time:       468 |        468 |                               lz4
import time:      1872 |       2340 |                             joblib.compressor
import time:      1476 |       1476 |                               joblib.numpy_pickle_utils
import time:      1383 |       2859 |                             joblib.numpy_pickle_compat
import time:      2168 |       7366 |                           joblib.numpy_pickle
import time:      1803 |      18433 |                         joblib._memmapping_reducer
import time:      1139 |      19571 |                       joblib.executor
import time:      1800 |       1800 |                       joblib.pool
import time:      2397 |      28740 |                     joblib._parallel_backends
import time:      2392 |       2392 |                       joblib.logger
import time:      2306 |       4698 |                     joblib._store_backends
import time:      1331 |       1331 |                     joblib.hashing
import time:      9122 |       9122 |                         pkgutil
import time:    232350 |     241471 |                       pydoc
import time:     63510 |      63510 |                       joblib.func_inspect
import time:      2760 |     307741 |                     joblib.memory
import time:      4631 |       4631 |                     joblib.parallel
import time:      2725 |     572662 |                   joblib
import time:      2466 |       2466 |                       sklearn._config
import time:      9417 |       9417 |                         sklearn.__check_build._check_build
import time:      5648 |      15065 |                       sklearn.__check_build
import time:       943 |        943 |                       sklearn._distributor_init
import time:      3414 |       3414 |                         sklearn.exceptions
import time:      1425 |       1425 |                                 sklearn.utils._bunch
import time:      3144 |       4569 |                               sklearn.utils._metadata_requests
import time:      3884 |       8453 |                             sklearn.utils.metadata_routing
import time:     15480 |      15480 |                                     scipy.__config__
import time:      2648 |       2648 |                                     scipy.version
import time:       221 |        221 |                                       scipy._distributor_init_local
import time:      1085 |       1306 |                                     scipy._distributor_init
import time:       426 |        426 |                                         cython
import time:     30132 |      30557 |                                       scipy._lib._testutils
import time:     97787 |     128344 |                                     scipy._lib
import time:      1765 |       1765 |                                     scipy._lib._pep440
import time:      4350 |       4350 |                                       scipy._lib._ccallback_c
import time:      7183 |      11532 |                                     scipy._lib._ccallback
import time:      2255 |     163327 |                                   scipy
import time:      3550 |       3550 |                                             numpy._typing._add_docstring
import time:      2243 |       5793 |                                           numpy.typing
import time:      2564 |       2564 |                                               scipy._lib.array_api_compat.common._helpers
import time:      4095 |       6658 |                                             scipy._lib.array_api_compat.common
import time:      1860 |       8518 |                                           scipy._lib.array_api_compat
import time:      1525 |       1525 |                                                 numpy.fft._pocketfft_umath
import time:     11754 |      13279 |                                               numpy.fft._pocketfft
import time:      1763 |       1763 |                                               numpy.fft._helper
import time:       947 |        947 |                                               numpy.fft.helper
import time:      2018 |      18005 |                                             numpy.fft
import time:      1459 |       1459 |                                                 numpy.polynomial.polyutils
import time:      3281 |       3281 |                                                 numpy.polynomial._polybase
import time:      8219 |      12957 |                                               numpy.polynomial.polynomial
import time:      2179 |       2179 |                                               numpy.polynomial.chebyshev
import time:      2115 |       2115 |                                               numpy.polynomial.legendre
import time:      1886 |       1886 |                                               numpy.polynomial.hermite
import time:      1789 |       1789 |                                               numpy.polynomial.hermite_e
import time:      2240 |       2240 |                                               numpy.polynomial.laguerre
import time:      2144 |      25307 |                                             numpy.polynomial
